,Unnamed: 0,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
823,823,2023-11-27,1,Pirituba/Jaraguá,Inativo Transitável,17:58:00,19:00:00,AV RAIMUNDO PEREIRADE MAGALHAES, BAIRRO/CENTRO, R JOAO GOMES MENDONCA
824,824,2023-11-27,1,Butantã,Inativo Transitável,18:22:00,19:25:00,AV VITAL BRASIL, BAIRRO/CENTRO, R CAMARGO
825,825,2023-11-27,1,Lapa,Inativo Transitável,18:14:00,19:43:00,AV MARQ. DE SAO VICENTE, B FUNDA/LAPA, PC PASCOAL MARTINS
826,826,2023-11-27,1,Itaquera,Inativo Transitável,19:43:00,21:27:00,AV JOSE PINHEIRO BORGES, BAIRRO/CENTRO, R ITAGIMIRIM
827,827,2023-11-27,1,Vila Mariana,Inativo Intransitável,18:44:00,19:03:00,AV VINTE E TRES DE MAIO, AMBOS, VD GAL EUCLIDES DE FIGUEIREDO
828,828,2023-11-28,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,20:46:00,21:48:00,RCELMARQUES RIBEIRO, AMBOS, R JOSE BERNARDO PINTO
829,829,2023-11-28,1,Santana,Inativo Transitável,20:46:00,21:48:00,AV GAL ATALIBA LEONEL, CENTRO/BAIRRO, R JOVITA
830,830,2023-11-28,1,Santana,Inativo Intransitável,23:00:00,01:39:00,MARGINAL TIETE, A SENNA/CASTELO B - EXP, PTE CRUZEIRO DO SUL-JORN ARY SILVA
831,831,2023-11-28,1,Aricanduva/ Vila Formosa,Inativo Intransitável,20:53:00,22:24:00,AV DR EDUARDO COTCHING, NAO INFORMADO, R FELISBELA GONCALVES
832,832,2023-11-28,1,São Miguel Paulista,Inativo Transitável,20:49:00,21:50:00,R ASDRUBAL, BAIRRO/CENTRO, R JOSE LEAL FONTOURA
833,833,2023-11-28,1,Penha,Inativo Transitável,21:03:00,21:50:00,AV CD.DE FRONTIN, AMBOS, R JOAQUIM MARRA
834,834,2023-11-28,1,Vila Prudente,Inativo Intransitável,20:55:00,21:38:00,VD GRANDE SAO PAULO VER M O SALA, IPIRANGA/V PRUDENTE, AV PROF LUIZ IGNACIO ANHAIA MELLO
835,835,2023-11-28,1,Vila Prudente,Inativo Intransitável,21:00:00,22:24:00,R FALCHI GIANINI, V PRUDENTE/SAPOPEMBA, R TORQUATO TASSO
836,836,2023-11-28,1,Vila Prudente,Inativo Intransitável,21:10:00,21:35:00,AV SALIM FARAH MALUF, MARGINAL/V PRUDENTE, AV VILA EMA
837,837,2023-11-28,1,Santo Amaro,Inativo Intransitável,21:06:00,21:24:00,AV STO AMARO, BAIRRO/CENTRO, AV ROQUE PETRONI JUNIOR
838,838,2023-11-29,1,Sé,Inativo Transitável,06:00:00,08:48:00,CV EVARISTO COMOLATTI, CENTRO/BAIRRO, VD DO GLICERIO
839,839,2023-11-29,1,Ermelino Matarazzo,Inativo Intransitável,00:12:00,01:39:00,R JOAO JOSE RODRIGUES, A SENNA/MAUA, R JOSE AUGUSTO DA SILVEIRA
840,840,2023-11-29,1,Itaquera,Inativo Intransitável,04:19:00,04:35:00,VD ANTONIO SANCHEZ DE L. JUNIOR, A SENNA/MAUA, AV CAITITU
841,841,2023-11-29,1,Penha,Inativo Intransitável,07:11:00,07:26:00,CV ARIETA CALFAT KHOURY FARAH, BAIRRO/CENTRO, AV ITAQUERA
842,842,2023-11-29,1,Vila Prudente,Inativo Intransitável,16:25:00,18:33:00,R ANTONIO DE ALMEIDA, UNICO, R MANUEL DE AVITA
843,843,2023-11-29,1,Cidade Ademar,Inativo Transitável,01:23:00,02:02:00,:02ES DO ALVARENGA, CENTRO/BAIRRO, R ARISTIDES NOGUEIRA
844,844,2023-11-29,1,Santo Amaro,Inativo Intransitável,15:41:00,16:48:00,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R JAIME DE OLIVEIRA SOUZA
845,845,2023-11-29,1,Santo Amaro,Inativo Intransitável,15:47:00,18:55:00,AV INTERLAGOS, CENTRO/BAIRRO, R ENG ALLYRIO HUGUENEY DE MATTOS
